Date,Apple
2000-09-28,3.3473
2000-09-29,1.6111
2000-10-02,1.5172
2000-10-03,1.3959
2000-10-04,1.4778
2000-10-05,1.3802
2000-10-06,1.3883
2000-10-09,1.3608
2000-10-10,1.3058
2000-10-11,1.2276
2000-10-12,1.2513
2000-10-13,1.3802
2000-10-16,1.3452
2000-10-17,1.2588
2000-10-18,1.2588
2000-10-19,1.185
2000-10-20,1.22
2000-10-23,1.2745
2000-10-24,1.1806
2000-10-25,1.1575
2000-10-26,1.1575
2000-10-27,1.1612
2000-10-30,1.2082
2000-10-31,1.2238
2000-11-01,1.2826
2000-11-02,1.3959
2000-11-03,1.3921
2000-11-06,1.3414
2000-11-07,1.3333
2000-11-08,1.2551
2000-11-09,1.2632
2000-11-10,1.1925
2000-11-13,1.2119
2000-11-14,1.267
2000-11-15,1.2432
2000-11-16,1.1888
2000-11-17,1.1575
2000-11-20,1.185
2000-11-21,1.1769
2000-11-22,1.1575
2000-11-24,1.2082
2000-11-27,1.1694
2000-11-28,1.1281
2000-11-29,1.0987
2000-11-30,1.0323
2000-12-01,1.0674
2000-12-04,1.0442
2000-12-05,1.0636
2000-12-06,0.8953
2000-12-07,0.8953
2000-12-08,0.9422
2000-12-11,0.9504
2000-12-12,0.9623
2000-12-13,0.9385
2000-12-14,0.9035
2000-12-15,0.8797
2000-12-18,0.8916
2000-12-19,0.8759
2000-12-20,0.8997
2000-12-21,0.8797
2000-12-22,0.9385
2000-12-26,0.9191
2000-12-27,0.9266
2000-12-28,0.9266
2000-12-29,0.931
2001-01-02,0.931
2001-01-03,1.0242
2001-01-04,1.0674
2001-01-05,1.0242
2001-01-08,1.0361
2001-01-09,1.0755
2001-01-10,1.0361
2001-01-11,1.1262
2001-01-12,1.0755
2001-01-16,1.0711
2001-01-17,1.0517
2001-01-18,1.1694
2001-01-19,1.22
2001-01-22,1.2044
2001-01-23,1.2826
2001-01-24,1.2826
2001-01-25,1.2476
2001-01-26,1.2238
2001-01-29,1.3571
2001-01-30,1.3608
2001-01-31,1.3527
2001-02-01,1.3214
2001-02-02,1.2901
2001-02-05,1.2632
2001-02-06,1.3214
2001-02-07,1.2983
2001-02-08,1.2983
